concept_id,Extended_ID,Compact_ID,Mini_ID,ICD10-Block,ICD10-Chapter,Ethiopia Extended Name,Ethiopia Compact Name,Ethiopia Mini Name,Discrepancy among Ethiopia Names,Stripped Name,Ethiopia Name: Harmonized,Final-Name,Changes made to name? Yes/No,Notes on Final Name,WHO_ID,Orginal ICD10 Match: WHO_ID,ICD10 Match: Stripped Name,Discrepancy between ICD10 Match,Final ICD-10 Map Type,Final ICD-10 Map,Reference Only: ICD-10 Name,Change made to ICD-10 Map (based on WHO_ID)? Yes/No,Notes on Final ICD-10 Map,SAME-AS CIEL Map (Optional),SAME-AS ICD-10-CM Mapping (Optional),Secondary Mapping to WHO ICD-10 (Optional),Additional FMOH Action Recommended,Recommended Action for FMOH,Consolidated Review History
11,11,11,,A00,Infectious & Parasitic,Enteritis (Campylobacter enteritis),Enteritis (Campylobacter enteritis),,No,Campylobacter enteritis,Enteritis (Campylobacter enteritis),Enteritis (Campylobacter enteritis),No,,30,A04.5,A04.5,No,Same As,A04.5,Campylobacter enteritis,No,,,,,No,,
12,12,12,,A00,Infectious & Parasitic,Enteritis (Enteritis due to Yersinia enterocolitica),Enteritis (Enteritis due to Yersinia enterocolitica),,No,Enteritis due to Yersinia enterocolitica,Enteritis (Enteritis due to Yersinia enterocolitica),Enteritis (Enteritis due to Yersinia enterocolitica),No,,31,A04.6,A04.6,No,Same As,A04.6,Enteritis due to Yersinia enterocolitica,No,,,,,No,,
13,13,13,5,A00,Infectious & Parasitic,"Infection (Bacterial intestinal infection, unspecified)","Infection (Bacterial intestinal infection, unspecified)","Infection (Bacterial intestinal infection, unspecified)",No,"Bacterial intestinal infection, unspecified","Infection (Bacterial intestinal infection, unspecified)","Infection (Bacterial intestinal infection, unspecified)",No,,34,A04.9,A04.9,No,Same As,A04.9,"Bacterial intestinal infection, unspecified",No,,,,,No,,
14,14,14,,A00,Infectious & Parasitic,Intoxications [Foodborne] (Foodborne staphylococcal intoxication),Intoxications [Foodborne] (Foodborne staphylococcal intoxication),,No,Foodborne staphylococcal intoxication,Intoxications [Foodborne] (Foodborne staphylococcal intoxication),Intoxications [Foodborne] (Foodborne staphylococcal intoxication),No,,36,A05.0,A05.0,No,Same As,A05.0,Foodborne staphylococcal intoxication,No,,,,,No,,
15,15,,,A00,Infectious & Parasitic,Botulism,,,No,Botulism,Botulism,Botulism,No,,37,A05.1,A05.1,No,Same As,A05.1,Botulism,No,,,,,No,,
16,16,15,,A00,Infectious & Parasitic,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,,No,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,No,,38,A05.2,A05.2,No,Same As,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,No,,,,,No,,
17,17,16,,A00,Infectious & Parasitic,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,,No,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,No,,41,A05.8,A05.8,No,Same As,A05.8,Other specified bacterial foodborne intoxications,No,,,,,No,,
18,18,17,6,A00,Infectious & Parasitic,"Intoxication (Bacterial foodborne intoxication, unspecified)","Intoxication (Bacterial foodborne intoxication, unspecified)","Intoxication (Bacterial foodborne intoxication, unspecified)",No,"Bacterial foodborne intoxication, unspecified","Intoxication (Bacterial foodborne intoxication, unspecified)","Intoxication (Bacterial foodborne intoxication, unspecified)",No,,42,A05.9,A05.9,No,Same As,A05.9,"Bacterial foodborne intoxication, unspecified",No,,,,,No,,
19,19,18,7,A00,Infectious & Parasitic,Amoebiasis,Amoebiasis,Amoebiasis,No,Amoebiasis,Amoebiasis,Amoebiasis,No,,43,A06.-,A06.-,No,Same As,A06.9,"Amoebiasis, unspecified",Yes,"Mapped to A06.9 ""Amoebiasis, unspecified"" -- should not map to category header unless no descendants defined",,,,No,,
20,20,19,8,A00,Infectious & Parasitic,Amoebiasis (Acute amoebic dysentery),Amoebiasis (Acute amoebic dysentery),Amoebiasis (Acute amoebic dysentery),No,Acute amoebic dysentery,Amoebiasis (Acute amoebic dysentery),Amoebiasis (Acute amoebic dysentery),No,,44,A06.0,A06.0,No,Same As,A06.0,Acute amoebic dysentery,No,,,,,No,,
21,21,20,9,A00,Infectious & Parasitic,Amoebiasis (Chronic intestinal amoebiasis),Amoebiasis (Chronic intestinal amoebiasis),Amoebiasis (Chronic intestinal amoebiasis),No,Chronic intestinal amoebiasis,Amoebiasis (Chronic intestinal amoebiasis),Amoebiasis (Chronic intestinal amoebiasis),No,,45,A06.1,A06.1,No,Same As,A06.1,Chronic intestinal amoebiasis,No,,,,,No,,
22,22,21,10,A00,Infectious & Parasitic,Amoebiasis (Amoebic nondysenteric colitis),Amoebiasis (Amoebic nondysenteric colitis),Amoebiasis (Amoebic nondysenteric colitis),No,Amoebic nondysenteric colitis,Amoebiasis (Amoebic nondysenteric colitis),Amoebiasis (Amoebic nondysenteric colitis),No,,46,A06.2,A06.2,No,Same As,A06.2,Amoebic nondysenteric colitis,No,,,,,No,,
23,23,22,,A00,Infectious & Parasitic,Amoebiasis (Amoeboma of intestine),Amoebiasis (Amoeboma of intestine),,No,Amoeboma of intestine,Amoebiasis (Amoeboma of intestine),Amoebiasis (Amoeboma of intestine),No,,47,A06.3,A06.3,No,Same As,A06.3,Amoeboma of intestine,No,,,,,No,,
24,24,,,A00,Infectious & Parasitic,Amebiasis (Amoebic liver abscess),,,No,Amoebic liver abscess,Amebiasis (Amoebic liver abscess),Amebiasis (Amoebic liver abscess),No,,48,A06.4,A06.4,No,Same As,A06.4,Amoebic liver abscess,No,,,,,No,,
25,25,23,,A00,Infectious & Parasitic,Amebiasis (Amoebic lung abscess),Amebiasis (Amoebic lung abscess),,No,Amoebic lung abscess,Amebiasis (Amoebic lung abscess),Amebiasis (Amoebic lung abscess),No,,49,A06.5,A06.5,No,Same As,A06.5,Amoebic lung abscess,No,,,,,No,,
26,26,24,,A00,Infectious & Parasitic,Amebiasis (Amoebic brain abscess),Amebiasis (Amoebic brain abscess),,No,Amoebic brain abscess,Amebiasis (Amoebic brain abscess),Amebiasis (Amoebic brain abscess),No,,50,A06.6,A06.6,No,Same As,A06.6,Amoebic brain abscess,No,,,,,No,,
27,27,25,,A00,Infectious & Parasitic,Amebiasis (Amoebic infection of other sites),Amebiasis (Amoebic infection of other sites),,No,Amoebic infection of other sites,Amebiasis (Amoebic infection of other sites),Amebiasis (Amoebic infection of other sites),No,,52,A06.8,A06.8,No,Same As,A06.8,Amoebic infection of other sites,No,,,,,No,,
28,28,26,11,A00,Infectious & Parasitic,Giardiasis (Giardiasis [lambliasis]),Giardiasis (Giardiasis [lambliasis]),Giardiasis (Giardiasis [lambliasis]),No,Giardiasis [lambliasis],Giardiasis (Giardiasis [lambliasis]),Giardiasis (Giardiasis [lambliasis]),No,,56,A07.1,A07.1,No,Same As,A07.1,Giardiasis [lambliasis],No,,,,,No,,
29,29,27,,A00,Infectious & Parasitic,Cryptosporidiosis,Cryptosporidiosis,,No,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,No,,57,A07.2,A07.2,No,Same As,A07.2,Cryptosporidiosis,No,,,,,No,,
30,30,28,,A00,Infectious & Parasitic,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,,No,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,No,,63,A08.1,A08.1,No,Same As,A08.1,Acute gastroenteropathy due to Norwalk agent,No,,,,,No,,
31,31,29,12,A00,Infectious & Parasitic,Enteritis (Other viral enteritis),Enteritis (Other viral enteritis),Enteritis (Other viral enteritis),No,Other viral enteritis,Enteritis (Other viral enteritis),Enteritis (Other viral enteritis),No,,65,A08.3,A08.3,No,Same As,A08.3,Other viral enteritis,No,,,,,No,,
32,32,30,,A00,Infectious & Parasitic,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",,No,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",No,,66,A08.4,A08.4,No,Same As,A08.4,"Viral intestinal infection, unspecified",No,,,,,No,,
33,33,31,,A00,Infectious & Parasitic,Gastroenteritis and colitis of unspecified origin,Gastroenteritis and colitis of unspecified origin,,No,Gastroenteritis and colitis of unspecified origin,Gastroenteritis and colitis of unspecified origin,Gastroenteritis and colitis of unspecified origin,No,,70,A09.9,A09.9,No,Same As,A09.9,Gastroenteritis and colitis of unspecified origin,No,,,,,No,,
34,34,32,,A15,Infectious & Parasitic,Tuberculosis (Respiratory; bacteriologically and histologically confirmed),Tuberculosis (Respiratory; bacteriologically and histologically confirmed),,No,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Tuberculosis (Respiratory; bacteriologically and histologically confirmed),Tuberculosis (Respiratory; bacteriologically and histologically confirmed),No,,71,A15.-,A15.-,No,Same As,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Yes,"Mapped to A15.9 ""unspecified"" -- should not map to category header unless no descendants are defined",,,,No,,
35,35,33,13,A15,Infectious & Parasitic,"Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)","Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)","Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)",No,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)","Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)",No,,72,A15.0,A15.0,No,Same As,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",No,,,,,No,,
36,36,34,,A15,Infectious & Parasitic,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically",,No,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically",No,,74,A15.2,A15.2,No,Same As,A15.2,"Tuberculosis of lung, confirmed histologically",No,,,,,No,,
37,37,35,,A15,Infectious & Parasitic,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means",,No,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means",No,,75,A15.3,A15.3,No,Same As,A15.3,"Tuberculosis of lung, confirmed by unspecified means",No,,,,,No,,
38,38,36,14,A15,Infectious & Parasitic,"Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)","Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)","Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)",No,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)","Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)",No,,79,A15.7,A15.7,No,Same As,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",No,,,,,No,,
39,39,37,,A15,Infectious & Parasitic,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",,No,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",No,,82,A16.-,A16.-,No,Narrower Than,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Yes,Mapped to A16.9 -- should not map to category header unless no descendants defined. Note that A16.9 is a duplicate.,,,,Yes,"Recommend reviewing to confirm that providers will be able to reliably distinguish between ""without confirmation"" and ""without mention of confirmation""",
40,40,38,,A15,Infectious & Parasitic,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation",,No,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Tuberculosis of lung, without mention of bacteriological or histological confirmation",No,,85,A16.2,A16.2,No,Same As,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",No,,,,,No,,
41,41,39,,A15,Infectious & Parasitic,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,No,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",No,,87,A16.4,A16.4,No,Same As,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",No,,,,,No,,
42,42,40,,A15,Infectious & Parasitic,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,No,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",No,,88,A16.5,A16.5,No,Same As,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",No,,,,,No,,
43,43,41,,A15,Infectious & Parasitic,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,No,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,No,,89,A16.7,A16.7,No,Same As,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,No,,,,,No,,
44,44,42,,A15,Infectious & Parasitic,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,No,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",No,,90,A16.8,A16.8,No,Same As,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",No,,,,,No,,
45,45,43,,A15,Infectious & Parasitic,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,No,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",No,,91,A16.9,A16.9,No,Same As,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",No,,,,,No,,
46,46,44,,A15,Infectious & Parasitic,Tuberculosis of nervous system,Tuberculosis of nervous system,,No,Tuberculosis of nervous system,Tuberculosis of nervous system,Tuberculosis of nervous system,No,,92,A17.-,A17.-,No,Same As,A17.9,"Tuberculosis of nervous system, unspecified",Yes,"Mapped to A17.9 ""unspecified"" -- should not map to category header",,,,No,,
47,47,,,A15,Infectious & Parasitic,Tuberculosis (Meningeal tuberculoma),,,No,Meningeal tuberculoma,Tuberculosis (Meningeal tuberculoma),Tuberculosis (Meningeal tuberculoma),No,,94,A17.1,A17.1,No,Same As,A17.1,Meningeal tuberculoma,No,,,,,No,,
48,48,45,15,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of other organs),Tuberculosis (Tuberculosis of other organs),Tuberculosis (Tuberculosis of other organs),No,Tuberculosis of other organs,Tuberculosis (Tuberculosis of other organs),Tuberculosis (Tuberculosis of other organs),No,,97,A18.-,A18.-,No,Same As,A18.8,Tuberculosis of other specified organs,Yes,"Mapped to A18.8 ""Tuberculosis of other specified organs"" -- Should not map to category header",,,,Yes,Mapped to A18.8 rather than to category header.,
49,49,46,,A15,Infectious & Parasitic,Tuberculosis of bones and joints,Tuberculosis of bones and joints,,No,Tuberculosis of bones and joints,Tuberculosis of bones and joints,Tuberculosis of bones and joints,No,,98,A18.0,A18.0,No,Same As,A18.0,Tuberculosis of bones and joints,No,,,,,No,,
50,50,47,,A15,Infectious & Parasitic,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,,No,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,No,,99,A18.1,A18.1,No,Same As,A18.1,Tuberculosis of genitourinary system,No,,,,,No,,
51,51,48,,A15,Infectious & Parasitic,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands",,No,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands",No,,101,A18.3,A18.3,No,Same As,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",No,,,,,No,,
52,52,,,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of skin and subcutaneous tissue),,,No,Tuberculosis of skin and subcutaneous tissue,Tuberculosis (Tuberculosis of skin and subcutaneous tissue),Tuberculosis (Tuberculosis of skin and subcutaneous tissue),No,,102,A18.4,A18.4,No,Same As,A18.4,Tuberculosis of skin and subcutaneous tissue,No,,,,,No,,
53,53,,,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of ear),,,No,Tuberculosis of ear,Tuberculosis (Tuberculosis of ear),Tuberculosis (Tuberculosis of ear),No,,104,A18.6,A18.6,No,Same As,A18.6,Tuberculosis of ear,No,,,,,No,,
54,54,49,,A15,Infectious & Parasitic,Miliary tuberculosis,Miliary tuberculosis,,No,Miliary tuberculosis,Miliary tuberculosis,Miliary tuberculosis,No,,107,A19.-,A19.-,No,Same As,A19.9,"Miliary tuberculosis, unspecified",Yes,Mapped to A19.9 -- should not map directly to category header unless no descendants defined,,,,Yes,Recommend retiring this term as it is a duplicate of A19.9,"JP: Retire this code or is it acceptable to map this to A19.9 in addition to the other A19.9 (see #58) because the names are slightly different?

AK: This is the same as the A19.9 code description actually, so it should be retired."
55,55,50,,A15,Infectious & Parasitic,Tuberculosis (Acute miliary tuberculosis of a single specified site),Tuberculosis (Acute miliary tuberculosis of a single specified site),,No,Acute miliary tuberculosis of a single specified site,Tuberculosis (Acute miliary tuberculosis of a single specified site),Tuberculosis (Acute miliary tuberculosis of a single specified site),No,,108,A19.0,A19.0,No,Same As,A19.0,Acute miliary tuberculosis of a single specified site,No,,,,,No,,
56,56,51,,A15,Infectious & Parasitic,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,,No,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,No,,109,A19.1,A19.1,No,Same As,A19.1,Acute miliary tuberculosis of multiple sites,No,,,,,No,,
57,57,52,,A15,Infectious & Parasitic,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",,No,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",No,,110,A19.2,A19.2,No,Same As,A19.2,"Acute miliary tuberculosis, unspecified",No,,,,,No,,
58,58,53,16,A15,Infectious & Parasitic,"Tuberculosis (Miliary tuberculosis, unspecified)","Tuberculosis (Miliary tuberculosis, unspecified)","Tuberculosis (Miliary tuberculosis, unspecified)",No,"Miliary tuberculosis, unspecified","Tuberculosis (Miliary tuberculosis, unspecified)","Tuberculosis (Miliary tuberculosis, unspecified)",No,,112,A19.9,A19.9,No,Same As,A19.9,"Miliary tuberculosis, unspecified",No,,,,,No,,
59,59,54,,A20,Infectious & Parasitic,Tularemia (Tularaemia),Tularemia (Tularaemia),,No,Tularaemia,Tularemia (Tularaemia),Tularemia (Tularaemia),No,,121,A21.-,A21.-,No,Same As,A21.9,"Tularaemia, unspecified",Yes,"Mapped to A21.9 ""unspecified"" rather than to the category header",,,,No,,
60,60,55,17,A20,Infectious & Parasitic,Anthrax,Anthrax,Anthrax,No,Anthrax,Anthrax,Anthrax,No,,129,A22.-,A22.-,No,Same As,A22.9,"Anthrax, unspecified",Yes,"Mapped to A22.9 ""unspecified"" rather than to the category header",,,,No,,
61,61,56,18,A30,Infectious & Parasitic,Leprosy (Tuberculoid leprosy),Leprosy (Tuberculoid leprosy),Leprosy (Tuberculoid leprosy),No,Tuberculoid leprosy,Leprosy (Tuberculoid leprosy),Leprosy (Tuberculoid leprosy),No,,170,A30.1,A30.1,No,Same As,A30.1,Tuberculoid leprosy,No,,,,,No,,
62,62,57,19,A30,Infectious & Parasitic,Leprosy (Borderline leprosy),Leprosy (Borderline leprosy),Leprosy (Borderline leprosy),No,Borderline leprosy,Leprosy (Borderline leprosy),Leprosy (Borderline leprosy),No,,172,A30.3,A30.3,No,Same As,A30.3,Borderline leprosy,No,,,,,No,,
63,63,58,20,A30,Infectious & Parasitic,Leprosy (Lepromatous leprosy),Leprosy (Lepromatous leprosy),Leprosy (Lepromatous leprosy),No,Lepromatous leprosy,Leprosy (Lepromatous leprosy),Leprosy (Lepromatous leprosy),No,,174,A30.5,A30.5,No,Same As,A30.5,Lepromatous leprosy,No,,,,,No,,
64,64,59,21,A30,Infectious & Parasitic,"Leprosy (Leprosy, unspecified)","Leprosy (Leprosy, unspecified)","Leprosy (Leprosy, unspecified)",No,"Leprosy, unspecified","Leprosy (Leprosy, unspecified)","Leprosy (Leprosy, unspecified)",No,,176,A30.9,A30.9,No,Same As,A30.9,"Leprosy, unspecified",No,,,,,No,,
65,65,60,,A30,Infectious & Parasitic,Listeriosis (Cutaneous listeriosis),Listeriosis (Cutaneous listeriosis),,No,Cutaneous listeriosis,Listeriosis (Cutaneous listeriosis),Listeriosis (Cutaneous listeriosis),No,,183,A32.0,A32.0,No,Same As,A32.0,Cutaneous listeriosis,No,,,,,No,,
66,66,61,22,A30,Infectious & Parasitic,Tetanus (Tetanus neonatorum),Tetanus (Tetanus neonatorum),Tetanus (Tetanus neonatorum),No,Tetanus neonatorum,Tetanus (Tetanus neonatorum),Tetanus (Tetanus neonatorum),No,,188,A33,A33,No,Same As,A33,Tetanus neonatorum,No,,,,,No,,
