concept_id,extra_icd10_block,extra_icd10_chapter,name
112,A70,Infectious & Parasitic,Active stage of trachoma
113,A70,Infectious & Parasitic,"Trachoma (Trachoma, unspecified)"
114,A70,Infectious & Parasitic,Chlamydial conjunctivitis
115,A75,Infectious & Parasitic,Typhus fever
116,A75,Infectious & Parasitic,Typhus fever (Epidemic louse-borne typhus fever due to Rickettsia prowazekii)
117,A75,Infectious & Parasitic,"Typhus fever, unspecified"
118,A80,Infectious & Parasitic,Poliomyelitis (Acute poliomyelitis)
119,A80,Infectious & Parasitic,"Poliomyelitis (Acute paralytic poliomyelitis, vaccine-associated)"
120,A80,Infectious & Parasitic,"Acute paralytic poliomyelitis, wild virus, imported"
121,A80,Infectious & Parasitic,"Acute paralytic poliomyelitis, wild virus, indigenous"
122,A80,Infectious & Parasitic,Poliomyelitis (Acute nonparalytic poliomyelitis)
123,A80,Infectious & Parasitic,"Acute poliomyelitis, unspecified"
124,A80,Infectious & Parasitic,Rabies (Sylvatic rabies)
125,A80,Infectious & Parasitic,"Rabies (Rabies, unspecified)"
126,A90,Infectious & Parasitic,Haemorrhagic Fevers (Dengue fever [classical dengue])
127,A90,Infectious & Parasitic,Haemorrhagic Fevers (Dengue haemorrhagic fever)
128,A90,Infectious & Parasitic,Haemorrhagic Fevers (Yellow fever)
129,A90,Infectious & Parasitic,Viral Hemorrhagic Fever (Other specified viral haemorrhagic fevers)
130,A90,Infectious & Parasitic,Zika (Other specified viral haemorrhagic fevers)
131,A90,Infectious & Parasitic,Ebola (Other specified viral haemorrhagic fevers)
132,A90,Infectious & Parasitic,Haemorrhagic Fevers (Unspecified viral haemorrhagic fever)
133,B00,Infectious & Parasitic,Herpes Simplex (Herpesviral [herpes simplex] infections)
134,B00,Infectious & Parasitic,Astiatotic eczema (Eczema herpeticum)
135,B00,Infectious & Parasitic,"Infection (Herpesviral infection, unspecified)"
136,B00,Infectious & Parasitic,Chickenpox (Varicella [chickenpox])
137,B00,Infectious & Parasitic,Chickenpox (Varicella with other complications)
138,B00,Infectious & Parasitic,Varicella (Varicella without complication)
139,B00,Infectious & Parasitic,Herpes Zoster (Zoster [herpes zoster])
140,B00,Infectious & Parasitic,Ocular Disease (Disseminated zoster)
141,B00,Infectious & Parasitic,Herpes Zoster (Zoster with other complications)
142,B00,Infectious & Parasitic,Herpes Zoster (Zoster without complication)
143,B00,Infectious & Parasitic,Smallpox
144,B00,Infectious & Parasitic,Measles
145,B00,Infectious & Parasitic,Measles (Measles with other complications)
146,B00,Infectious & Parasitic,Measles (Measles without complication)
147,B00,Infectious & Parasitic,Rubella (Rubella [German measles])
148,B00,Infectious & Parasitic,Warts (Viral warts)
149,B00,Infectious & Parasitic,"Infection (Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified)"
150,B00,Infectious & Parasitic,Molluscum Contagiosum
151,B15,Infectious & Parasitic,Hepatitis B (Acute hepatitis B)
152,B15,Infectious & Parasitic,Hepatitis (Other acute viral hepatitis)
153,B15,Infectious & Parasitic,"Hepatitis (Acute viral hepatitis, unspecified)"
154,B15,Infectious & Parasitic,Hepatitis (Chronic viral hepatitis)
155,B15,Infectious & Parasitic,Hepatitis C (Other chronic viral hepatitis)
156,B20,Infectious & Parasitic,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
157,B20,Infectious & Parasitic,HIV (HIV disease resulting in mycobacterial infection)
158,B20,Infectious & Parasitic,HIV disease resulting in other bacterial infections
159,B20,Infectious & Parasitic,HIV (HIV disease resulting in candidiasis)
160,B20,Infectious & Parasitic,HIV disease resulting in Pneumocystis jirovecii pneumonia
161,B20,Infectious & Parasitic,HIV disease resulting in multiple infections
162,B20,Infectious & Parasitic,HIV Disease (HIV disease resulting in unspecified infectious or parasitic disease)
163,B20,Infectious & Parasitic,HIV disease resulting in Kaposi sarcoma
164,B20,Infectious & Parasitic,HIV disease resulting in encephalopathy
165,B20,Infectious & Parasitic,HIV disease resulting in wasting syndrome
166,B20,Infectious & Parasitic,HIV (Human immunodeficiency virus [HIV] disease resulting in other conditions)
167,B20,Infectious & Parasitic,Acute HIV infection syndrome
168,B20,Infectious & Parasitic,HIV disease resulting in (persistent) generalized lymphadenopathy
169,B20,Infectious & Parasitic,Unspecified human immunodeficiency virus [HIV] disease
170,B25,Infectious & Parasitic,Mumps
171,B35,Infectious & Parasitic,Tinea Barbae/Capitis (Tinea barbae and tinea capitis)
172,B35,Infectious & Parasitic,Tinea Unguium
173,B35,Infectious & Parasitic,Tinea Manuum (Hand ringworm)
174,B35,Infectious & Parasitic,Tinea Pedis (Athlete's foot)
175,B35,Infectious & Parasitic,Tinea Corporis
176,B35,Infectious & Parasitic,Tinea Cruris
177,B35,Infectious & Parasitic,Dermatophytoses (Other dermatophytoses)
178,B35,Infectious & Parasitic,"Dermatophytosis (Dermatophytosis, unspecified)"
179,B35,Infectious & Parasitic,Mycoses (Other superficial mycoses)
180,B35,Infectious & Parasitic,Pityriasis Versicolor
181,B35,Infectious & Parasitic,Candidiasis
182,B35,Infectious & Parasitic,Candidiasis (Candidal stomatitis)
183,B35,Infectious & Parasitic,Candidiasis (Pulmonary candidiasis)
184,B35,Infectious & Parasitic,Candidiasis (of skin and nail)
185,B35,Infectious & Parasitic,Candidiasis (onychia)
186,B35,Infectious & Parasitic,Candidiasis (paronychia)
187,B35,Infectious & Parasitic,Candidiasis (Sebohric Dermatitis)
188,B35,Infectious & Parasitic,Candidiasis (Candidal meningitis)
189,B35,Infectious & Parasitic,Candidiasis (cheilitis)
190,B35,Infectious & Parasitic,"Candidiasis (Candidiasis, unspecified)"
191,B35,Infectious & Parasitic,"Coccidioidomycosis (Coccidioidomycosis, unspecified)"
192,B35,Infectious & Parasitic,"Histoplasmosis (Histoplasmosis, unspecified)"
193,B35,Infectious & Parasitic,"Aspergillosis (Aspergillosis, unspecified)"
194,B35,Infectious & Parasitic,Actinomycetoma
195,B35,Infectious & Parasitic,Mycoses (Opportunistic mycoses)
196,B50,Infectious & Parasitic,Malaria (Plasmodium falciparum malaria)
197,B50,Infectious & Parasitic,Malaria (Plasmodium falciparum malaria with cerebral complications)
198,B50,Infectious & Parasitic,Malaria (Other severe and complicated Plasmodium falciparum malaria)
199,B50,Infectious & Parasitic,"Malaria (Plasmodium falciparum malaria, unspecified)"
200,B50,Infectious & Parasitic,Malaria (Plasmodium vivax malaria)
201,B50,Infectious & Parasitic,Malaria (Plasmodium vivax malaria with other complications)
202,B50,Infectious & Parasitic,Malaria (Plasmodium vivax malaria without complication)
203,B50,Infectious & Parasitic,Mixed Malaria (Other parasitologically confirmed malaria)
204,B50,Infectious & Parasitic,Malaria (Unspecified malaria)
205,B50,Infectious & Parasitic,Leishmaniasis
206,B50,Infectious & Parasitic,"Leishmaniasis (Visceral leishmaniasis, Kala-azar)"
207,B50,Infectious & Parasitic,Leishmaniasis (Cutaneous leishmaniasis)
208,B50,Infectious & Parasitic,Leishmaniasis (Mucocutaneous leishmaniasis)
209,B50,Infectious & Parasitic,Meningoencephalitis (Toxoplasma meningoencephalitis)
210,B50,Infectious & Parasitic,Toxoplasmosis (Toxoplasmosis with other organ involvement)
211,B50,Infectious & Parasitic,"Toxoplasmosis (Toxoplasmosis, unspecified)"
212,B50,Infectious & Parasitic,Protozoal Disease (Unspecified/Leech infestation)
213,B65,Infectious & Parasitic,Schistosomiasis (Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis])
214,B65,Infectious & Parasitic,Schistosomiasis (Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis])
215,B65,Infectious & Parasitic,Schistosomiasis (Unspecified)
216,B65,Infectious & Parasitic,Echinococcosis
217,B65,Infectious & Parasitic,Taenia Saginata (Taenia saginata taeniasis)
218,B65,Infectious & Parasitic,"Taenia Saginata (Taeniasis, unspecified)"
219,B65,Infectious & Parasitic,"Cysticercosis (Cysticercosis, unspecified)"
220,B65,Infectious & Parasitic,"Tapeworm (Cestode infection, unspecified)"
221,B65,Infectious & Parasitic,Dracunculiasis (Guinea worm)
222,B65,Infectious & Parasitic,Onchocerciasis
223,B65,Infectious & Parasitic,Filariasis
224,B65,Infectious & Parasitic,Elephantiasis (Filariasis due to Wuchereria bancrofti)
225,B65,Infectious & Parasitic,Ascariasis
226,B65,Infectious & Parasitic,Ascariasis (Ascariasis with intestinal complications)
227,B65,Infectious & Parasitic,Ascariasis (Ascariasis with other complications)
228,B65,Infectious & Parasitic,"Ascariasis (Ascariasis, unspecified)"
229,B65,Infectious & Parasitic,Strongyloidiasis (Intestinal strongyloidiasis)
230,B65,Infectious & Parasitic,Strongyloidiasis (Disseminated)
231,B65,Infectious & Parasitic,"Strongyloidiasis (Strongyloidiasis, unspecified)"
232,B65,Infectious & Parasitic,Trichuriasis
233,B65,Infectious & Parasitic,Enterobiasis
234,B65,Infectious & Parasitic,Helminthiasis (Mixed intestinal helminthiases)
235,B65,Infectious & Parasitic,"Helminthiasis (Intestinal helminthiasis, unspecified)"
236,B85,Infectious & Parasitic,"Pediculosis (Pediculosis, unspecified)"
237,B85,Infectious & Parasitic,Phthiriasis
238,B85,Infectious & Parasitic,Pediculosis And Phthiriasis (Mixed pediculosis and phthiriasis)
239,B85,Infectious & Parasitic,Scabies
240,B85,Infectious & Parasitic,Myiasis
241,B85,Infectious & Parasitic,Myiasis (Ocular myiasis)
242,B85,Infectious & Parasitic,Tungiasis [sandflea infestation]
243,B85,Infectious & Parasitic,Leech Infestation (Other specified infestations)
244,B90,Infectious & Parasitic,Sequelae of tuberculosis
245,B90,Infectious & Parasitic,Poliomyelitis (Sequelae of poliomyelitis)
246,B90,Infectious & Parasitic,Leprosy (Sequelae of leprosy)
247,B90,Infectious & Parasitic,Sequelae of other and unspecified infectious and parasitic diseases
248,B90,Infectious & Parasitic,Sequelae of trachoma
249,B90,Infectious & Parasitic,Sequelae of other specified infectious and parasitic diseases
250,B95,Infectious & Parasitic,Staphylococcus aureus as the cause of diseases classified to other chapters
251,B95,Infectious & Parasitic,Other staphylococcus as the cause of diseases classified to other chapters
252,B95,Infectious & Parasitic,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
253,B95,Infectious & Parasitic,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
254,B95,Infectious & Parasitic,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
255,B95,Infectious & Parasitic,Coronavirus as the cause of diseases classified to other chapters
256,B99,Infectious & Parasitic,Other and unspecified infectious diseases
257,C00,Neoplasms,"Malignant neoplasm: Floor of mouth, unspecified (Malignant neoplasm of other, unspecified parts of mouth)"
258,C00,Neoplasms,Malignant neoplasm of other and unspecified parts of mouth (Malignant neoplasm of oropharynx)
259,C15,Neoplasms,Malignant neoplasm of oropharynx (Malignant neoplasm of oesophagus)
260,C15,Neoplasms,Malignant neoplasm of oesophagus (Malignant neoplasm of stomach)
261,C15,Neoplasms,"Malignant (Malignant neoplasm: Stomach, unspecified)"
262,C15,Neoplasms,Malignant neoplasm of stomach (Malignant neoplasm of small intestine)
263,C15,Neoplasms,Malignant neoplasm of small intestine (Malignant neoplasm: Duodenum)
264,C15,Neoplasms,Malignant neoplasm: Duodenum (Malignant neoplasm: Jejunum)
265,C15,Neoplasms,Malignant neoplasm: Jejunum (Malignant neoplasm: Ileum)
266,C15,Neoplasms,Malignant neoplasm: Ileum (Malignant neoplasm of colon)
267,C15,Neoplasms,Malignant neoplasm: Sigmoid colon (Malignant neoplasm of anus and anal canal)
268,C15,Neoplasms,Malignant neoplasm of anus and anal canal (Malignant neoplasm: Liver cell carcinoma)
269,C30,Neoplasms,"Malignant neoplasm: Larynx, unspecified (Malignant neoplasm of trachea)"
270,C30,Neoplasms,Malignant neoplasm of trachea (Malignant neoplasm of bronchus and lung)
271,C30,Neoplasms,"Malignant neoplasm of bronchus and lung (Malignant neoplasm: Mediastinum, part unspecified)"
272,C30,Neoplasms,"Malignant neoplasm: Upper respiratory tract, part unspecified"
273,C40,Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified"
274,C43,Neoplasms,"Malignant neoplasm: Bone and articular cartilage, unspecified (Malignant melanoma of skin)"
275,C45,Neoplasms,Malignant Neoplasm (Kaposi sarcoma)
276,C50,Neoplasms,Kaposi sarcoma (Malignant neoplasm of breast)
277,C50,Neoplasms,"Malignant (Malignant neoplasm: Breast, unspecified)"
278,C51,Neoplasms,Malignant neoplasm of breast (Malignant neoplasm of cervix uteri)
279,C51,Neoplasms,"Malignant (Malignant neoplasm: Cervix uteri, unspecified)"
280,C51,Neoplasms,Malignant neoplasm: Exocervix (Malignant neoplasm: Endometrium)
281,C51,Neoplasms,Malignant neoplasm: Endometrium (Malignant neoplasm: Myometrium)
282,C51,Neoplasms,Malignant neoplasm: Myometrium (Malignant neoplasm of ovary)
283,C51,Neoplasms,Malignant neoplasm of ovary (Malignant neoplasm of other and unspecified female genital organs)
284,C60,Neoplasms,"Malignant neoplasm: Female genital organ, unspecified (Malignant neoplasm of prostate)"
285,C60,Neoplasms,"Malignant neoplasm of prostate (Malignant neoplasm: Testis, unspecified)"
286,C60,Neoplasms,"Malignant neoplasm: Testis, unspecified (Malignant neoplasm of other and unspecified male genital organs)"
287,C64,Neoplasms,"Malignant neoplasm: Male genital organ, unspecified (Malignant neoplasm: Urinary organ, unspecified)"
288,C76,Neoplasms,"Malignant neoplasm: Urinary organ, unspecified (Malignant neoplasm of other and ill-defined sites)"
289,C76,Neoplasms,Malignant Neoplasm (Secondary and unspecified malignant neoplasm of lymph nodes)
290,C76,Neoplasms,Secondary and unspecified malignant neoplasm of lymph nodes
291,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of mediastinum)
292,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of retroperitoneum and peritoneum)
293,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of liver and intrahepatic bile duct)
294,C76,Neoplasms,Secondary malignant neoplasm of kidney and renal pelvis
295,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of skin)
296,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of bone and bone marrow)
297,C76,Neoplasms,Malignant Neoplasm (Secondary malignant neoplasm of ovary)
298,C76,Neoplasms,"Secondary malignant neoplasm, unspecified site"
299,C76,Neoplasms,"Malignant (Malignant neoplasm, without specification of site)"
300,C76,Neoplasms,"Malignant (Malignant neoplasm, primary site unknown, so stated)"
301,C76,Neoplasms,"Malignant (Malignant neoplasm, unspecified)"
302,C81,Neoplasms,Hodgkin lymphoma
303,C81,Neoplasms,"Lymphoma (Hodgkin lymphoma, unspecified)"
304,C81,Neoplasms,Follicular lymphoma
305,C81,Neoplasms,Non-follicular lymphoma
306,C81,Neoplasms,Burkitt lymphoma
307,C81,Neoplasms,"Lymphoma (Mature T/NK-cell lymphoma, unspecified)"
308,C81,Neoplasms,"Non-Hodgkin Lymphoma (Non-Hodgkin lymphoma, unspecified)"
309,C81,Neoplasms,Leukemia (Acute myeloblastic leukaemia [AML])
310,C81,Neoplasms,Leukemia (Other myeloid leukaemia)
311,C81,Neoplasms,"Leukemia (Leukaemia, unspecified)"
312,C81,Neoplasms,"Leukemia (Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue)"
313,D10,Neoplasms,Benign Neoplasms (Benign neoplasm of bone and articular cartilage)
314,D10,Neoplasms,"Lipoma (Benign lipomatous neoplasm, unspecified)"
315,D10,Neoplasms,"Angioma (Haemangioma, any site)"
316,D10,Neoplasms,Benign Neoplasms (Benign neoplasm of ovary)
317,D10,Neoplasms,Benign Neoplasms (Benign neoplasm: Kidney)
318,D10,Neoplasms,Benign Neoplasms (Benign neoplasm: Urethra)
319,D10,Neoplasms,Benign (Benign neoplasm of other and unspecified sites)
320,D37,Neoplasms,Polycythaemia vera
321,D50,"Blood, Immune System",Anaemia (Iron deficiency anaemia)
322,D60,"Blood, Immune System",Anaemia (Idiopathic aplastic anaemia)
323,D60,"Blood, Immune System",Pancytopenia (Other specified aplastic anaemias)
324,D60,"Blood, Immune System",Anaemia (Acute posthaemorrhagic anaemia)
325,D60,"Blood, Immune System",Other specified anaemias
326,D60,"Blood, Immune System","Anaemia (Anaemia, unspecified)"
327,D65,"Blood, Immune System",Papulosquamous Diseases (Acquired coagulation factor deficiency)
328,D65,"Blood, Immune System",Purpura (Allergic purpura)
329,D65,"Blood, Immune System","Thrombocytopenia (Thrombocytopenia, unspecified)"
330,D70,"Blood, Immune System",Hyposplenism
331,D70,"Blood, Immune System",Hypersplenism
332,D70,"Blood, Immune System",Secondary polycythaemia
333,D70,"Blood, Immune System",Blood And Blood-Forming Organs (Other)
334,D80,"Blood, Immune System",Leg Ulcers (Adenosine deaminase [ADA] deficiency)
335,D80,"Blood, Immune System","Immunodeficiency (Immunodeficiency, unspecified)"
336,E00,"Endocrine, Metabolic System",Goiter (Iodine-deficiency-related diffuse (endemic) goitre)
337,E00,"Endocrine, Metabolic System",Iodine-deficiency-related multinodular (endemic) goitre
338,E00,"Endocrine, Metabolic System","Goiter (Iodine-deficiency-related (endemic) goitre, unspecified)"
339,E00,"Endocrine, Metabolic System",Myxoedema coma
340,E00,"Endocrine, Metabolic System","Hypothyroidism, unspecified"
341,E00,"Endocrine, Metabolic System",Nontoxic diffuse goitre
342,E00,"Endocrine, Metabolic System",Nontoxic single thyroid nodule
343,E00,"Endocrine, Metabolic System",Nontoxic multinodular goitre
344,E00,"Endocrine, Metabolic System","Nontoxic goitre, unspecified"
345,E00,"Endocrine, Metabolic System",Thyrotoxicosis [hyperthyroidism]
346,E00,"Endocrine, Metabolic System",Thyrotoxicosis with diffuse goitre
347,E00,"Endocrine, Metabolic System",Thyrotoxicosis with toxic single thyroid nodule
348,E00,"Endocrine, Metabolic System",Thyrotoxicosis with toxic multinodular goitre
349,E00,"Endocrine, Metabolic System","Thyrotoxicosis, unspecified"
350,E00,"Endocrine, Metabolic System",Thyroiditis
351,E00,"Endocrine, Metabolic System","Thyroid Disorder (Disorder of thyroid, unspecified)"
352,E10,"Endocrine, Metabolic System",Diabetes Mellitus (Insulin-dependent diabetes mellitus)
353,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With coma
354,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With ketoacidosis
355,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With renal complications
356,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With ophthalmic complications
357,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With neurological complications
358,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With peripheral circulatory complications
359,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With other specified complications
360,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With multiple complications
361,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: With unspecified complications
362,E10,"Endocrine, Metabolic System",Insulin-dependent diabetes mellitus: Without complications
363,E10,"Endocrine, Metabolic System",Diabetes Mellitus (Non-insulin-dependent diabetes mellitus)
364,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With coma
365,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With ketoacidosis
366,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With renal complications
367,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With ophthalmic complications
368,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With neurological complications
369,E10,"Endocrine, Metabolic System",Non-insulin-dependent diabetes mellitus: With peripheral circulatory complications
