Indicator ID,HMIS Category 1,HMIS Category 2,HMIS Category 3,HMIS Category 4,Indicator Title,Definition,Class,Datatype,Formula Type,Formula: Numerator,Formula: Denominator,Formula: Multiplier,Interpretation,Disaggregation,Recommendation,Primary Sources,Reporting Frequency,Applicable Reporting Units,Instruments,HSTP Indicator Map,WHO IMR Mappings,Logical Groupings,Notes
C1.1.1.11,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Number of maternal deaths in the community,"Number of  maternal  deaths from any cause related to or aggravated by pregnancy or its management in  the community ( at home, on the way to HF and in  the HP)",Indicator,Numeric,Count,"Number of  maternal  deaths from any cause related to or aggravated  by pregnancy or its management in  the community ( at home, on the way to HF and in  the HP)",,,"Maternal death is the death of a woman from conditions caused or aggravated by pregnancy, which occurs from time of conception to six weeks postpartum, but not from incidental or accidental causes. The cause of death could be direct – abortion, hemorrhage, hypertension, obstructed labor or sepsis; or could be indirect like heart disease aggravated by pregnancy, or malaria in pregnancy.  Five major obstetric complications are known to be the major cause of maternal mortality: hemorrhage (post-partum, ante-partum), ruptured uterus, eclampsia, obstructed labor, infection.  The reasons for every maternal death in the community should be investigated and appropriate improvements measures taken.","Facility type: at home, on the way to health facility, at HP",,"Service delivery tally (for HP), Administrative report",Monthly,"HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,None - 2?,"Similar to WHO 4622: Maternal deaths. WHO does not specify that the death must occur in the community. Ethiopia states HP is included, but does not include higher level facilities.
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622",,"At the reporting level HC/Clinic states: *N.B.HC aggregates reports received from HPs & sends to WorHO. 
"
C1.1.1.12,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Stillbirth rate,The proportion of stillbirths from total births attended,Indicator,Numeric,Indicator,Number of stillbirths,Total number of births (still and live) attended,100,"The stillbirth rate mainly defines the access, availability and quality of obstetric care and the result of neglected obstructed labor in the Ethiopian set up, but could also be due to major congenital malformation, RH incompatibility, or many other causes. ",None,,"Service delivery tally (for HP), Delivery Register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,"Similar to WHO 2444: Stillbirth rate. WHO is calculated as a rate per 1000, while Ethiopia is a %.
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2444",,
C1.1.1.13,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.1 Maternal Health,,Proportion of kebeles declared 'home delivery free',Proportion of kebeles declared home delivery free,Indicator,Numeric,Indicator,Number of kebeles that have been declared home delivery free,Total number of kebeles,100,This indicator intends to further strengthen implementation of community level integrated maternal and child health services .It gives an opportunity to further explore the existence and functionality of HDA network. It also creates positive competition among the neighboring kebeles. Network leader on monthly basis declares “home delivery free kebele” using the network structure that documents zero home delivery.,None,,Administrative report,Monthly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,"At the reporting level HC/Clinic states: *N.B.HC aggregates reports received from HPs & sends to worHO . "
C1.1.2.1,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Percentage of pregnant and lactating women who were tested for HIV and who know their results ,"Percentage of pregnant women who were tested for HIV and who know their results during pregnancy, labor and delivery and post-partum period",Indicator,Numeric,Indicator,"Number of pregnant women tested and know their result during pregnancy, labor and delivery and post-partum period",Estimated number of pregnant women ,100,"Mother-to-child transmission of HIV infection can occur during pregnancy, labor and delivery or during breastfeeding. The risk of mother-to-child transmission can be reduced by a range of interventions, including providing antiretroviral prophylaxis to women during pregnancy and labor and to the infant in the first weeks of life; obstetrical interventions, including elective caesarean delivery. Receiving HIV testing and counseling services as early as possible during pregnancy enables pregnant women living with HIV to benefit from HIV services and to access interventions for reducing HIV transmission to their infants.

The numerator is the sum of the following:
a) Pregnant women who received an HIV test and result during antenatal care;
b) Pregnant women attending labor and delivery with unknown HIV status who were tested for HIV in the labor and delivery facility and received their result;
c) Women with unknown HIV status attending postpartum services within 72 hours of delivery who were tested for HIV and received their result; and
d) Pregnant women with known HIV infection attending antenatal care for a new pregnancy.","HIV sero status ( HIV +ve)

Service area: ANC, L&D and PNC (within 72 hrs)",,"ANC, L&D, and PNC Register",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,"WHO 2929: Pregnant women tested for HIV, estimated coverage
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2929

WHO 2927: Reported number of pregnant women tested for HIV
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2927",,
C1.1.2.2,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Number of HIV positive pregnant and lactating women who received ART at ANC+L&D+PNC for the first time based on option B+.,Number of HIV  positive pregnant and lactating women who received ART (antiretroviral therapy) at ANC+L&D+PNC for the first time to reduce the risk of mother-to-child transmission,Indicator,Numeric,Count,Number of HIV positive  pregnant and lactating women who received ART to reduce the risk of  mother to child transmission at ANC+ L&D + PNC for the first time   ,,,"In the absence of any preventive interventions, infants born to and breastfed by women living with HIV have roughly a one in three chance of acquiring infection. This can happen during pregnancy, during labor and delivery or after delivery through breastfeeding. The risk of mother to child transmission can be significantly reduced through the complementary approaches of providing antiretroviral therapy for the mother and with prophylaxis to the infant, implementing safe delivery practices and using safe breastfeeding practices. Antiretroviral prophylaxis followed by exclusive breastfeeding for the first 6 months reduces the risk of vertical transmission. According to option B+, HIV positive pregnant and lactating women will be started on ART irrespective of their CD4 count and WHO clinical staging. She will be put on TDF +3TC +EFV. This indicator measures the provision and coverage of antiretroviral treatment and prophylaxis, by regimen type, for HIV-positive pregnant women in order to reduce the risk of mother to child transmission of HIV.","ANC, L&D, PNC

Maternal prophylaxis (Single dose AZT, Triple ARVs)",,PMTCT Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,27,"WHO 2932: Estimated pregnant women living with HIV who received antiretroviral medicine for preventing mother-to-child transmission
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2932

Disaggregation set is similar to WHO 2933: Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on UNAIDS/WHO methods
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2933",,
C1.1.2.3,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Number of HIV-positive women who get pregnant while on ART and linked to ANC,Number of HIV positive women who get pregnant while on ART and linked to ANC in the past 12 months. ,Indicator,Numeric,Count,Number of HIV-positive  women who get pregnant while on ART and linked to ANC  ,,,"Significant number of women get pregnant while on ART. The pregnancy might be planned or unintended. In the absence of any preventive interventions, infants born to and breastfed by women living with HIV have roughly a one in three chance of acquiring infection. This can happen during pregnancy, during labor and delivery or after delivery through breastfeeding. The risk of mother to child transmission can be significantly reduced through the complementary approaches of providing antiretroviral therapy for the mother and with prophylaxis to the infant, implementing safe delivery practices, and using safe breastfeeding practices.",None,,PMTCT Register/ART Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.2.4,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Percentage of infants born to HIV infected women receiving a virological test for HIV within 12 months of birth,Percentage of infants born to HIV-positive women who received a virological (DNA/PCR) HIV test within 12 months of birth,Indicator,Numeric,Indicator,"Number of HIV exposed  infants who received an HIV test within 12 months of birth, during the reporting period",Total number of expected live births from HIV positive mothers,100,"Infants infected with HIV during pregnancy, delivery or early postpartum period often die before they are recognized as having HIV infection. Early diagnosis of infants who acquired HIV during pregnancy, delivery or in the early postpartum period is critical as infants have an increased risk of mortality if they go undiagnosed and untreated. 

This indicator measures the extent to which infants born to HIV-positive women are tested to determine their HIV status within the first 12 months of life. It is recommended to establish the capacity to provide early virological testing of infants for HIV at 6 weeks, or as soon as possible thereafter to guide clinical decision-making at the earliest possible stage. Data from this indicator will be used to determine the rate of scale up and progress with Early Infant Diagnosis, to strategize scale-up programs and inform how the PMTCT program is successful in averting infection. The numerator is calculated from the PMTCT Register. The number of infants who received an HIV test within 12 months of birth should only be counted once. The numerator should only include the initial test and not any subsequent tests.","Infants who received a virological test: within 2 months, between 2 and 12 months",,PMTCT Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.2.5,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Percentage of infants born to HIV-infected women who were started on co-trimoxazole prophylaxis within two months of birth,Percentage of infants born to HIV-positive women who started on co-trimoxazole prophylaxis within two months of birth,Indicator,Numeric,Indicator,Number of infants born to HIV infected women started on co-trimoxazole prophylaxis within two months of birth during the reporting period ,"Estimated number of HIV- infected pregnant women who gave birth",100,"This indicator permits monitoring trends in the numbers and proportion of HIV exposed infants who started CTX prophylaxis. 

Co-trimoxazole prophylaxis is a simple and cost-effective intervention to prevent Pneumocystis Caroni pneumonia (PCP) among HIV-exposed and -infected infants. PCP is the leading cause of serious respiratory disease among young HIV-infected infants and often occurs before HIV infection can be diagnosed. Because diagnosing HIV infection among young infants is difficult, all infants born to women living with HIV should receive Co-trimoxazole (CTX) prophylaxis starting at 4–6 weeks after birth and continuing until HIV infection has been excluded and the infant is no longer at risk of acquiring HIV through breastfeeding. 

Individuals should be considered to be “receiving” CTX prophylaxis if CTX has been prescribed and obtained by the patient (provided by a program or procured by the patient). The indicator does not attempt to capture interruptions in drug availability or patient adherence to prescribed therapy. The reports will need to be interpreted in the context of national policies. ",None,,PMTCT Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.2.6,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Percentage of infants born to HIV-infected women receiving antiretroviral (ARV) prophylaxis for prevention of mother-to-child transmission (PMTCT),Percentage of infants born to HIV positive women who received ARV prophylaxis to reduce risk of mother-to-child transmission. ,Indicator,Numeric,Indicator,"Number of HIV exposed   infants who received ARV prophylaxis  ",Total number of expected live births from HIV positive mothers,100,"In the absence of any preventive interventions, infants born to and breastfed by women living with HIV have roughly a one in three chance of acquiring infection. This can happen during pregnancy, during labor and delivery, or after delivery through breastfeeding. The risk of mother to child transmission can be significantly reduced through the complementary approaches of providing antiretroviral therapy for the mother and with prophylaxis to the infant, implementing safe delivery practices and using safe breastfeeding for the first 6 months. 

According to option B+, HIV positive pregnant women will be started on ART irrespective of its CD4 count and WHO clinical staging. She will be put on TDF+3TC+EFV. Infants born to HIV positive women should receive NVP prophylaxis as per the national guideline.",None,,PMTCT Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.2.7,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.2 PMTCT,,Percentage of HIV exposed infants receiving HIV confirmatory (antibody test) test by 18 months,Percentage of HIV exposed infants tested and confirmed HIV status at 18 months by rapid antibody test.,Indicator,Numeric,Indicator,Number of HIV exposed infants  receiving HIV confirmatory  (antibody test) by 18 months,Estimated number of exposed infants,100,"HIV exposed infants will acquire risk of HIV transmission from their mothers during pregnancy, L&D, and during breast-feeding period. The risk of acquiring HIV infection during breast feeding period ranges from 10-25%.  Appropriate breast feeding practices can reduce the risk of transmission during breast feeding. The national guideline for HIV exposed infants feeding practice recommends exclusive breast feeding for the first 6 months and continuing breast feeding with complementary feeding up to 18-24 months. Mixing in complementary foods in the first 6 months will increase the transmission of HIV. An HIV exposed infant will have DNA/PCR HIV test in the first 12 months of life, preferably within 2 months. At this time if the infant is positive he/she will be automatically put on ART and those negative infants will continue their follow up with their mothers up to 18-24 months in PMTCT services. For those HIV exposed infants with a DNA/PCR negative result confirmatory HIV antibody test at 18 months of age is mandatory to declare the final HIV status.","Positive, Negative",,PMTCT Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,28,,,
C1.1.3.1,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,DPT1-HepB1-Hib1 (pentavalent First dose) immunization coverage (< 1 year),"Proportion of surviving infants who have received  first (one) dose of the combined diphtheria, tetanus toxoid, pertussis, Hepatitis B and Haemophilus influenzae type B vaccine",Indicator,Numeric,Indicator,Number of children under one year of age who have received first  dose of pentavalent vaccine ,Estimated number of surviving infants,100,"DTP-HepB1-Hib1 coverage indicates availability of access to and initial use of immunization services by children. Pentavalent first dose (DPT1-HepB1-Hib1) immunization coverage has a strong inverse correlation with the prevalence of these diseases, especially amongst children under 5. It is an essential component for reducing under-five mortality. Increasing coverage should be accompanied by decreasing cases of disease. It is a good indicator of health system performance.",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.2,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,DPT3-HepB3-Hib3 (Pentavalent third dose) immunization coverage (< 1 year),"Proportion of surviving infants who have received three doses of the combined diphtheria, tetanus toxoid, pertussis, Hepatitis B and Haemophilus influenzae type B vaccine",Indicator,Numeric,Indicator,Number of children under one year of age who have received third dose of pentavalent vaccine ,Estimated number of surviving infants,100,"DTP-HepB3-Hib3 coverage indicates continuity of use by parents, client satisfaction with services, and capability of the system to deliver a series of vaccinations.

Pentavalent third dose (DPT3-HepB3-Hib3) immunization coverage has a strong inverse correlation with the prevalence of these diseases, especially amongst children under 5. It is an essential component for reducing under-five mortality. Increasing coverage should be accompanied by decreasing cases of disease. It is a good indicator of health system performance.",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,30,,,
C1.1.3.3,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Pneumococcal conjugated vaccine first dose (PCV1) immunization coverage (< 1 year),Proportion of surviving infants who have received one dose of the pneumococcal conjugated vaccine ,Indicator,Numeric,Indicator,Number of children under one year of age who have received first dose of pneumococcal  vaccine ,Estimated number of surviving infants,100,Pneumococcal conjugate vaccines (PCVs) are safe and effective for reducing illnesses and deaths caused by Streptococcus pneumonia. Pneumococcal conjugated vaccine first dose (PCV1) immunization coverage is an indicator of program access.,None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.4,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Pneumococcal conjugated vaccine (PCV3) immunization coverage (< 1 year),Proportion of surviving infants who have received three doses of the pneumococcal conjugated  vaccine,Indicator,Numeric,Indicator,Number of children under one year of age who have received third dose of pneumococcal  vaccine ,Estimated number of surviving infants,100,"Pneumococcal conjugated vaccine 3 immunization coverage has a strong inverse correlation with the prevalence of pneumococcal disease, it has direct effect in under five mortality rate (it can reduce by 10%), and it also indirectly significantly decreases adult pneumococcal morbidity and mortality through the herd effect. It is a good indicator of health system performance and will indicate the impact of this life-saving vaccine.",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.5,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,"Rotavirus vaccine first dose (Rota1) immunization coverage (< 1 year)",Proportion of surviving infants who have received one dose of Rotavirus vaccine,Indicator,Numeric,Indicator,Number of children under one year of age who have received first dose of Rotavirus  vaccine ,"Estimated number of surviving infants",100,"The first dose of Rotavirus vaccine (Rota1) immunization coverage indicates ability of the program to deliver the Rota vaccine and caregiver willingness to accept it. Its schedule is different from Penta and PCV vaccine. The vaccine is delivered in a narrow time period. The first dose is given between 6-14 week age and the 2nd dose is given four weeks after the first dose and before the 24th  week. ",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.3.6,C1: Access to Health Service,C1.1 Maternal and Child Health,C1.1.3 Child Health,,Rotavirus vaccine 2nd dose (Rota2) immunization coverage (< 1 year),Proportion of surviving infants who have received two  doses of the Rotavirus vaccine,Indicator,Numeric,Indicator,Number of children under one year of age who have received 2nd  dose of Rotavirus  vaccine ,Estimated number of surviving infants,100,"The second dose of the Rotavirus vaccine (Rota2) immunization coverage has a strong inverse correlation with the prevalence of Rotavirus diseases; it can reduce under five mortality by 5%. It is a good indicator of the ability of the program to deliver the vaccine series, ensuring that the vaccinated child is protected. 

Its schedule is different from Penta and PCV vaccine, and it is delivered in a narrow time period. The first dose is given between 6-14 week age and the 2nd dose is given four weeks after the first dose and before the 24 week. ",None,,"Service delivery tally (for HP), Immunization register",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
