Mn_ID,Cpt_ID,Ext_ID,concept_id,extra_icd10_block,extra_icd10_chapter,name,ICD-10 Map Type,ICD-10 Mapping,ICD-10 Name,CIEL
,451,480,2669,F40,Mental & Behavioral Disease,Psychogenic Syncope (Other specified neurotic disorders),Same as,F48.8,Other specified neurotic disorders,
147,452,481,2670,F40,Mental & Behavioral Disease,"Neurosis (Neurotic disorder, unspecified)",Same as,F48.9,"Neurotic disorder, unspecified",
,453,482,2694,F50,Mental & Behavioral Disease,Premature Ejaculation,Same as,F52.4,Premature ejaculation,
,454,483,2712,F60,Mental & Behavioral Disease,Personality Disorder (Emotionally unstable personality disorder),Same as,F60.3,Emotionally unstable personality disorder,
,455,484,2717,F60,Mental & Behavioral Disease,Personality Disorder (Other specific personality disorders),Same as,F60.8,Other specific personality disorders,
,456,485,2718,F60,Mental & Behavioral Disease,"Personality Disorder (Personality disorder, unspecified)",Same as,F60.9,"Personality disorder, unspecified",
,457,486,2806,F80,Mental & Behavioral Disease,Autism (Childhood autism),Same as,F84.0,Childhood autism,
,458,487,2811,F80,Mental & Behavioral Disease,Autistic Psychopathy (Asperger syndrome),Same as,F84.5,Asperger syndrome,
,,488,2817,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Disturbance of activity and attention),Same as,F90.0,Disturbance of activity and attention,
,,489,2818,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Hyperkinetic conduct disorder),Same as,F90.1,Hyperkinetic conduct disorder,
,459,490,2820,F90,Mental & Behavioral Disease,"Attention-Deficit Hyperactivity Disorder (Hyperkinetic disorder, unspecified)",Same as,F90.9,"Hyperkinetic disorder, unspecified",
,,491,2828,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Mixed disorders of conduct and emotions),Same as,F92.9,"Mixed disorders of conduct and emotions, unspecified",
